@RELATION finalTableAVRO

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
8,27,80,0,0,0.0,1,1,-40,0,-40.0,37,37,37.0,No
8,157,4,1,1,1.0,1,1,0,0,0.0,37,37,37.0,No
8,24,68,0,0,0.0,1,1,-34,0,-34.0,37,37,37.0,No
8,252,38,9,9,9.0,1,1,-1,0,-1.0,37,37,37.0,No
8,272,68,19,13,9.5,2,1,4,9,2.0,39,37,19.5,No
8,18,42,21,21,21.0,1,1,21,21,21.0,18,18,18.0,No
8,422,50,12,12,12.0,1,1,-1,0,-1.0,37,37,37.0,No
8,160,118,10,10,10.0,1,1,-39,0,-39.0,37,37,37.0,No
8,43,140,0,0,0.0,1,1,-70,0,-70.0,37,37,37.0,No
8,94,198,17,17,17.0,1,1,-65,0,-65.0,37,37,37.0,No
8,234,48,17,17,17.0,1,1,10,10,10.0,37,37,37.0,No
8,135,72,12,12,12.0,1,1,-12,0,-12.0,37,37,37.0,No
8,54,158,0,0,0.0,1,1,-79,0,-79.0,37,37,37.0,No
8,978,308,75,75,75.0,1,1,-4,0,-4.0,37,37,37.0,No
8,160,18,7,7,7.0,1,1,5,5,5.0,37,37,37.0,No
9,608,4,2,2,2.0,1,1,2,2,2.0,3,3,3.0,No
9,288,70,33,33,33.0,1,1,31,31,31.0,3,3,3.0,No
10,31,88,44,44,44.0,1,1,44,44,44.0,300,300,300.0,No
10,148,354,177,177,177.0,1,1,177,177,177.0,26,26,26.0,No
10,291,1172,258,173,51.6,5,2,-70,35,-14.0,70,19,14.0,No
10,18,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
10,94,268,134,133,67.0,2,1,134,133,67.0,7,6,3.5,No
10,144,360,180,180,180.0,1,1,180,180,180.0,26,26,26.0,No
10,59,4,1,1,1.0,1,1,0,0,0.0,60,60,60.0,No
10,213,300,150,140,75.0,2,2,150,140,75.0,21,13,10.5,No
10,222,98,22,22,22.0,1,1,-5,0,-5.0,19,19,19.0,No
10,248,144,55,53,27.5,2,1,38,36,19.0,63,60,31.5,No
10,30,0,0,0,0.0,1,1,0,0,0.0,300,300,300.0,No
10,61,178,89,89,89.0,1,1,89,89,89.0,19,19,19.0,No
10,351,502,195,195,195.0,1,1,139,139,139.0,60,60,60.0,No
10,23,66,0,0,0.0,1,1,-33,0,-33.0,60,60,60.0,No
10,60,188,94,87,47.0,2,1,94,87,47.0,27,16,13.5,No
10,278,800,400,400,400.0,1,1,400,400,400.0,300,300,300.0,No
10,154,202,38,38,38.0,1,1,-25,0,-25.0,19,19,19.0,No
10,60,20,10,10,10.0,1,1,10,10,10.0,26,26,26.0,No
10,34,94,0,0,0.0,1,1,-47,0,-47.0,60,60,60.0,No
10,255,638,319,319,319.0,1,1,319,319,319.0,300,300,300.0,No
10,1099,2558,1279,1279,1279.0,1,1,1279,1279,1279.0,26,26,26.0,Yes
10,590,704,327,325,163.5,2,1,302,300,151.0,63,60,31.5,No
10,126,4,1,1,1.0,1,1,0,0,0.0,60,60,60.0,No
10,16,48,0,0,0.0,1,1,-24,0,-24.0,60,60,60.0,No
10,145,460,230,230,230.0,1,1,230,230,230.0,26,26,26.0,No
10,143,380,190,190,190.0,1,1,190,190,190.0,300,300,300.0,No
10,232,34,7,7,7.0,1,1,-3,0,-3.0,19,19,19.0,No
10,41,40,15,15,15.0,1,1,10,10,10.0,9,9,9.0,No
10,141,370,185,185,185.0,1,1,185,185,185.0,300,300,300.0,No
10,797,1946,606,180,75.75,8,2,239,122,29.875,73,19,9.125,No
10,208,596,0,0,0.0,1,1,-298,0,-298.0,60,60,60.0,No
10,92,220,110,110,110.0,1,1,110,110,110.0,26,26,26.0,No
10,429,1182,591,591,591.0,1,1,591,591,591.0,26,26,26.0,No
10,1009,3068,1458,1136,486.0,3,1,1382,1136,460.6666666666667,21,13,7.0,No
10,16,58,26,25,13.0,2,1,23,25,11.5,18,13,9.0,No
10,16,48,24,24,24.0,1,1,24,24,24.0,300,300,300.0,No
10,21,62,0,0,0.0,1,1,-31,0,-31.0,60,60,60.0,No
10,149,82,36,36,36.0,1,1,31,31,31.0,60,60,60.0,No
10,294,880,406,351,135.33333333333334,3,2,372,351,124.0,36,19,12.0,No
10,495,890,362,65,27.846153846153847,13,2,279,61,21.46153846153846,102,19,7.846153846153846,No
10,662,48,9,9,9.0,1,1,-6,0,-6.0,60,60,60.0,No
