@RELATION finalTableFALCON

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
3,128,424,182,152,60.666666666666664,3,2,152,152,50.666666666666664,122,81,40.666666666666664,No
3,72,178,0,0,0.0,1,1,-89,0,-89.0,133,133,133.0,No
3,953,2952,1332,1190,190.28571428571428,7,3,1188,1190,169.71428571428572,460,292,65.71428571428571,Yes
3,352,1230,506,390,101.2,5,2,397,390,79.4,421,292,84.2,No
3,201,474,0,0,0.0,1,1,-237,0,-237.0,7,7,7.0,No
3,487,458,225,224,112.5,2,2,221,220,110.5,140,133,70.0,No
3,160,630,247,203,41.166666666666664,6,3,179,203,29.833333333333332,467,292,77.83333333333333,Yes
3,205,542,19,9,3.8,5,3,-233,6,-46.6,256,133,51.2,No
3,197,444,178,146,59.333333333333336,3,2,134,106,44.666666666666664,215,133,71.66666666666667,No
3,97,260,127,122,63.5,2,2,124,122,62.0,30,23,15.0,No
3,733,850,395,179,98.75,4,1,365,179,91.25,60,40,15.0,No
3,103,266,132,130,66.0,2,1,131,130,65.5,329,292,164.5,No
3,66,4,1,1,1.0,1,1,0,0,0.0,79,79,79.0,No
3,36,18,9,9,9.0,1,1,9,9,9.0,40,40,40.0,No
3,48,146,16,9,4.0,4,2,-41,1,-10.25,224,133,56.0,No
3,147,434,194,181,97.0,2,1,171,181,85.5,29,22,14.5,No
3,72,136,34,11,8.5,4,4,0,8,0.0,151,79,37.75,No
3,107,76,30,28,15.0,2,1,22,22,11.0,143,133,71.5,No
3,82,202,0,0,0.0,1,1,-101,0,-101.0,133,133,133.0,No
3,90,216,108,108,108.0,1,1,108,108,108.0,40,40,40.0,No
3,70,20,6,4,3.0,2,2,2,1,1.0,212,133,106.0,No
3,281,854,388,326,64.66666666666667,6,3,349,326,58.166666666666664,94,24,15.666666666666666,Yes
3,127,348,159,148,39.75,4,2,144,148,36.0,393,292,98.25,No
3,48,114,57,57,57.0,1,1,57,57,57.0,292,292,292.0,No
3,444,168,72,68,24.0,3,2,60,59,20.0,21,16,7.0,No
3,103,476,119,119,59.5,2,1,0,119,0.0,364,292,182.0,No
3,87,408,102,102,51.0,2,1,0,102,0.0,364,292,182.0,No
3,182,816,204,204,102.0,2,1,0,204,0.0,364,292,182.0,No
3,68,36,10,5,5.0,2,2,2,2,1.0,212,133,106.0,No
3,313,52,12,5,2.4,5,2,-2,5,-0.4,518,292,103.6,No
3,358,1008,469,418,58.625,8,3,434,418,54.25,233,81,29.125,Yes
3,65,36,14,9,4.666666666666667,3,2,10,9,3.3333333333333335,91,79,30.333333333333332,No
3,212,80,20,20,20.0,1,1,0,0,0.0,133,133,133.0,No
3,68,320,80,80,40.0,2,1,0,80,0.0,364,292,182.0,No
3,26,84,38,35,19.0,2,1,34,35,17.0,329,292,164.5,No
3,78,368,92,92,46.0,2,1,0,92,0.0,364,292,182.0,No
3,333,124,44,23,8.8,5,2,26,19,5.2,280,133,56.0,No
3,82,384,96,96,48.0,2,1,0,96,0.0,364,292,182.0,No
3,390,1352,566,510,188.66666666666666,3,2,456,510,152.0,411,292,137.0,No
